2168	1	250	5623	1
4280	1	250	5623	2
6398	1	250	5623	3
8571	1	250	5623	4
10792	1	250	5623	5
13005	1	250	5623	6
15264	1	250	5623	7
17464	1	250	5621	8
19658	1	250	5621	9
21852	1	250	5621	10
24015	1	250	5621	11
1046	1	250	4719	1
2044	1	250	4513	2
3028	1	250	4348	3
3991	1	250	4250	4
4968	1	250	4175	5
5930	1	250	4095	6
6919	1	250	4071	7
7935	1	250	4069	8
8888	1	250	4069	9
9857	1	250	3837	10
10852	1	250	3837	11
622	1	250	2137	1
1230	1	250	1886	2
1826	1	250	1728	3
2428	1	250	1632	4
3045	1	250	1603	5
3666	1	250	1526	6
4270	1	250	1457	7
4878	1	250	1434	8
5495	1	250	1415	9
6082	1	250	1408	10
6675	1	250	1406	11
